rank,title,Revenues,Profits,Latitude,Longitude
168,PG& E Corp.,17135,1646,37.7749295,-122.4194155
169,Synnex,17046,301.2,37.5482697,-121.9885719
170,WellCare Health Plans,17007,373.7,27.950575,-82.4571776
171,Performance Food Group,16762,96.3,37.5407246,-77.4360481
172,Sears Holdings,16702,-383,42.0629915,-88.1227199
173,Synchrony Financial,16695,1935,41.0534302,-73.5387341
174,CarMax,16637,627,37.5407246,-77.4360481
175,Bank of New York Mellon,16621,4090,40.7127753,-74.0059728
176,Freeport-McMoRan,16416,1817,33.4483771,-112.0740373
177,Genuine Parts,16309,616.8,33.7489954,-84.3879824
178,Emerson Electric,16301,1518,38.6270025,-90.1994042
179,DaVita,16038,663.6,39.7392358,-104.990251
180,Supervalu,16009,650,44.8546856,-93.470786
181,Gap,15855,848,37.7749295,-122.4194155
182,General Mills,15620,1657.5,44.977753,-93.2650108
183,Nordstrom,15478,437,47.6062095,-122.3320708
184,Colgate-Palmolive,15454,2024,40.7127753,-74.0059728
185,American Electric Power,15425,1912.6,39.9611755,-82.9987942
186,XPO Logistics,15381,340.2,41.0262417,-73.6281964
187,Goodyear Tire & Rubber,15377,346,41.0814447,-81.5190053
188,Omnicom Group,15274,1088.4,40.7127753,-74.0059728
189,CDW,15192,523,42.1900249,-87.9084039
190,Sherwin-Williams,14984,1772.3,41.49932,-81.6943605
191,PPG Industries,14967,1591,40.4406248,-79.9958864
192,Texas Instruments,14961,3682,32.7766642,-96.7969879
193,C.H. Robinson Worldwide,14869,504.9,44.8546856,-93.470786
194,WestRock,14860,708.2,33.7489954,-84.3879824
195,Cognizant Technology Solutions,14810,1504,40.8932469,-74.0116536
196,Newell Brands,14742,2748.8,40.7439905,-74.0323626
197,CBS,14710,357,40.7127753,-74.0059728
198,Envision Healthcare,14701,-228,36.1626638,-86.7816016
199,Monsanto,14640,2260,38.6270025,-90.1994042
200,Aramark,14604,373.9,39.9525839,-75.1652215
201,Applied Materials,14537,3434,37.3541079,-121.9552356
202,Waste Management,14485,1949,29.7604267,-95.3698028
203,DISH Network,14391,2098.7,39.6477653,-104.9877597
204,Illinois Tool Works,14314,1687,42.0697509,-87.7878408
205,Lincoln National,14257,2079,40.0462208,-75.3599105
206,HollyFrontier,14251,805.4,32.7766642,-96.7969879
207,CBRE Group,14210,691.5,34.0522342,-118.2436849
208,Textron,14198,307,41.8239891,-71.4128343
209,Ross Stores,14135,1362.8,37.7021521,-121.9357918
210,Principal Financial,14093,2310.4,41.6005448,-93.6091064
211,D.R. Horton,14091,1038.4,32.735687,-97.1080656
212,Marsh & McLennan,14024,1492,40.7127753,-74.0059728
213,Devon Energy,13949,898,35.4675602,-97.5164276
214,AES,13850,-1161,38.8816208,-77.0909809
215,Ecolab,13838,1508.4,44.9537029,-93.0899578
216,Land O'Lakes,13740,314.2,45.0502435,-93.1566112
217,Loews,13735,1164,40.7127753,-74.0059728
218,Kinder Morgan,13705,183,29.7604267,-95.3698028
219,FirstEnergy,13627,-1724,41.0814447,-81.5190053
220,Occidental Petroleum,13274,1311,29.7604267,-95.3698028
221,Viacom,13263,1874,40.7127753,-74.0059728
222,PayPal Holdings,13094,1795,37.3382082,-121.8863286
223,NGL Energy Partners,13022,137,36.1539816,-95.992775
224,Celgene,13003,2940,40.7146376,-74.3646122
225,Arconic,12960,-74,40.7127753,-74.0059728
226,Kellogg,12923,1269,42.3211522,-85.1797142
